,Date,Reported_New_Cases,Active_Cases,Hospitalized,ICU,Fatal,Scenario
0,2020-10-04,97.72707310945702,1410.0,130.10642038043034,39.192990586024735,152.88732864675276,Pessimistic
1,2020-10-05,97.7318309377697,1486.4589040472267,130.41839228062864,38.721764584544566,154.93234893745176,Pessimistic
2,2020-10-06,96.11836249940438,1414.577266546631,130.71755690180407,38.303054053956615,156.9540328550625,Pessimistic
3,2020-10-07,95.11324649519702,1419.6905130418281,130.99203748529152,37.9313771338225,158.9549925253832,Pessimistic
4,2020-10-08,94.47547620825253,1402.1659892500807,131.23519537696805,37.6015471143851,160.93755955247315,Pessimistic
5,2020-10-09,94.05880835173821,1369.2247976018189,131.4439828316933,37.308753396389285,162.90380286375475,Pessimistic
6,2020-10-10,93.77450108363291,1364.9992986854518,131.61773706512932,37.04859938125934,164.8555496054023,Pessimistic
7,2020-10-11,93.5687055579258,1368.5680042433776,131.75731431687956,36.817111106686916,166.79440720719205,Pessimistic
8,2020-10-12,93.40874782896208,1374.9767520723397,131.86447992840115,36.61072681167201,168.72178536238724,Pessimistic
9,2020-10-13,93.27480476067922,1347.2515568330189,131.94148760986945,36.426274765977944,170.63891712488189,Pessimistic
10,2020-10-14,93.15485275491574,1332.4064095879346,131.9907962504968,36.26094452750219,172.54687865121613,Pessimistic
11,2020-10-15,93.04160235760946,1338.448011945544,132.01488520996628,36.11225517335935,174.44660734154132,Pessimistic
12,2020-10-16,92.93063791182658,1298.3786498573706,132.0161390461746,35.97802286839777,176.33891828707004,Pessimistic
13,2020-10-17,92.8192884789928,1321.1979383363634,131.9967803910871,35.85632928634542,178.2245190321057,Pessimistic
14,2020-10-18,92.70594254363596,1316.1768077705424,131.95883557096275,35.745491800398,180.10402272165013,Pessimistic
0,2020-10-04,97.72707310945702,1410.0,127.73713621442522,39.09748081115936,152.8803148380712,Expected
1,2020-10-05,93.63017416331013,1482.3572472727672,126.98601632146593,38.56299088217487,154.91875480801966,Expected
2,2020-10-06,86.53504971008829,1400.8922969828554,126.02138827307989,38.05786631922383,156.92994231663303,Expected
3,2020-10-07,81.27713224683089,1392.1694292296863,124.84625255869642,37.57398785707125,158.9152020080895,Expected
4,2020-10-08,77.19157183101129,1357.3610010606976,123.4722793138533,37.10420218151153,160.87545704977165,Expected
5,2020-10-09,73.8621820489434,1304.223183109641,121.91646231329844,36.642402295728466,162.81128237369015,Expected
6,2020-10-10,71.02819518581214,1277.2513782954532,120.19866174511107,36.18352820141767,164.7229599083675,Expected
7,2020-10-11,68.52599140679922,1255.7773697022524,118.33986220293137,35.72351550053141,166.6105323744423,Expected
8,2020-10-12,66.2526830215586,1235.030052723811,116.36098403219113,35.25921266440712,168.47385348212947,Expected
9,2020-10-13,64.14335605098404,1178.173408774795,114.28210980290244,34.7882819816174,170.31263330208023,Expected
10,2020-10-14,62.15684648850697,1132.330255263302,112.12201397544506,34.30909464446325,172.12647824478364,Expected
11,2020-10-15,60.266850213481575,1105.5971054767836,109.89790836446674,33.82062695694757,173.91492553717978,Expected
12,2020-10-16,58.456366222343604,1031.0534716991272,107.62533702230407,33.32236207179167,175.67747238060997,Expected
13,2020-10-17,56.714223126799425,1017.7676948259266,105.3181712592407,32.81419980965891,177.4136001541727,Expected
14,2020-10-18,55.0329077081019,975.0735294245715,102.98866894809991,32.296375815939754,179.12279412541787,Expected
0,2020-09-05,222.28571428571428,3346.0,265,50,81,Historical
1,2020-09-06,217.14285714285714,3262.0,265,50,84,Historical
2,2020-09-07,213.14285714285714,3198.0,265,50,85,Historical
3,2020-09-08,196.71428571428572,3049.0,265,50,86,Historical
4,2020-09-09,162.57142857142858,2872.0,257,47,88,Historical
5,2020-09-10,156.57142857142858,2735.0,240,53,91,Historical
6,2020-09-11,141.71428571428572,2637.0,240,52,94,Historical
7,2020-09-12,128.85714285714286,2458.0,220,51,96,Historical
8,2020-09-13,121.71428571428571,2372.0,220,51,97,Historical
9,2020-09-14,118.14285714285714,2319.0,225,53,99,Historical
10,2020-09-15,118.14285714285714,2204.0,225,53,99,Historical
11,2020-09-16,118.42857142857143,1967.0,222,60,100,Historical
12,2020-09-17,117.14285714285714,1916.0,210,56,103,Historical
13,2020-09-18,109.57142857142857,1759.0,197,51,107,Historical
14,2020-09-19,106.57142857142857,1648.0,200,52,120,Historical
15,2020-09-20,101.28571428571429,1561.0,185,51,120,Historical
16,2020-09-21,97.85714285714286,1512.0,185,51,120,Historical
17,2020-09-22,97.42857142857143,1509.0,185,51,120,Historical
18,2020-09-23,106.85714285714286,1577.0,181,61,120,Historical
19,2020-09-24,96.85714285714286,1498.0,162,54,122,Historical
20,2020-09-25,96.57142857142857,1443.0,150,55,124,Historical
21,2020-09-26,99.0,1439.0,150,55,127,Historical
22,2020-09-27,102.0,1423.0,150,48,131,Historical
23,2020-09-28,106.85714285714286,1433.0,148,48,132,Historical
24,2020-09-29,110.28571428571429,1454.0,147,44,132,Historical
25,2020-09-30,103.57142857142857,1473.0,147,44,132,Historical
26,2020-10-01,106.14285714285714,1421.0,140,47,136,Historical
27,2020-10-02,102.57142857142857,1394.0,130,45,139,Historical
28,2020-10-03,103.42857142857143,1417.0,125,40,142,Historical
29,2020-10-04,99.42857142857143,1410.0,128,39,153,Historical
