,Date,Reported_New_Cases,Active_Cases,Hospitalized,ICU,Fatal,Scenario
0,2021-01-17,145.33234494672024,2423.0,109.01357335435647,20.057337156825223,321.2272817737975,Pessimistic
1,2021-01-18,147.58438977775495,2482.0,110.42774464362752,20.655197045561263,322.6523713178413,Pessimistic
2,2021-01-19,148.98884086576936,2507.0,111.65075299427303,21.22619697020757,324.11838203672596,Pessimistic
3,2021-01-20,149.73802395580242,2514.0,112.70499637555089,21.76879182948445,325.62337561861125,Pessimistic
4,2021-01-21,150.08470423662175,2342.0,113.61037939958923,22.282066058143077,327.165328344853,Pessimistic
5,2021-01-22,150.1823627286999,2228.0,114.3844302361087,22.765617907550176,328.7421710232671,Pessimistic
6,2021-01-23,150.12421876817507,2128.0,115.0424980569399,23.219458472762717,330.3518213345914,Pessimistic
7,2021-01-24,149.96691239365964,2078.0,115.59797943114125,23.643925245116037,331.9922096237147,Pessimistic
8,2021-01-25,149.74487829742475,2056.0,116.06254580755368,24.03960911194268,333.6612991179598,Pessimistic
9,2021-01-26,149.47907081965786,2091.0,116.44635795209831,24.407293365106177,335.3571014645051,Pessimistic
10,2021-01-27,149.18226047343705,2134.0,116.75826102011882,24.7479031933438,337.0776883741714,Pessimistic
11,2021-01-28,148.86224947427627,2104.0,117.00595827472615,25.062464189459877,338.8212000534444,Pessimistic
12,2021-01-29,148.52382404695254,2103.0,117.19616376306664,25.35206852737069,340.5858510078666,Pessimistic
13,2021-01-30,148.16993985459612,2086.0,117.33473539637484,25.617847613926227,342.36993371095923,Pessimistic
14,2021-01-31,147.80244183165632,2089.0,117.42679035584347,25.860950173622584,344.1718205545649,Pessimistic
0,2021-01-17,145.33234494672024,2423.0,108.54621482366919,20.040145863152933,321.2255983079687,Expected
1,2021-01-18,146.2034354400207,2480.0,109.74965736099419,20.626600644520078,322.64910814102996,Expected
2,2021-01-19,145.77973741706774,2502.0,110.72106373063882,21.181989806661964,324.1125968637774,Expected
3,2021-01-20,145.11146967274317,2504.0,111.48517518143339,21.70426059929604,325.61381337561954,Expected
4,2021-01-21,144.29289918552467,2326.0,112.06488609931648,22.192099800406385,327.1503894574131,Expected
5,2021-01-22,143.38167161861202,2205.0,112.48105911003344,22.64481862354628,328.7198874686828,Expected
6,2021-01-23,142.41307807104204,2097.0,112.75250223493211,23.062246391138476,330.3198402776875,Expected
7,2021-01-24,141.40876221428698,2038.0,112.89604185693432,23.44463501680595,331.9477841198904,Expected
8,2021-01-25,140.3820347881924,2006.0,112.92664883689152,23.792574925117016,333.6012851697744,Expected
9,2021-01-26,139.34111762472276,2031.0,112.85759058433183,24.106922194917615,335.2779606228046,Expected
10,2021-01-27,138.2911239888058,2063.0,112.70059202896456,24.388736237513598,336.9754950510604,Expected
11,2021-01-28,137.23526758416983,2021.0,112.46599508063049,24.639227079476832,338.6916527383267,Expected
12,2021-01-29,136.1756007081799,2007.0,112.1629104962093,24.859711224381954,340.42428663131767,Expected
13,2021-01-30,135.11346495912812,1977.0,111.79935887476617,25.051575061373693,342.1713444712888,Expected
14,2021-01-31,134.04976644735552,1966.0,111.3823992935359,25.216244834145645,343.9308725994225,Expected
0,2020-12-19,125.0,1604.0,52,14,281,Historical
1,2020-12-20,141.28571428571428,1703.0,52,14,282,Historical
2,2020-12-21,133.28571428571428,1756.0,49,15,282,Historical
3,2020-12-22,134.57142857142858,1769.0,49,15,282,Historical
4,2020-12-23,134.14285714285714,1796.0,67,14,285,Historical
5,2020-12-24,132.28571428571428,1802.0,67,14,285,Historical
6,2020-12-25,130.85714285714286,1833.0,64,11,285,Historical
7,2020-12-26,125.71428571428571,1755.0,64,11,285,Historical
8,2020-12-27,110.14285714285714,1760.0,64,11,285,Historical
9,2020-12-28,97.57142857142857,1616.0,125,23,285,Historical
10,2020-12-29,99.0,1635.0,89,14,285,Historical
11,2020-12-30,99.14285714285714,1633.0,81,14,285,Historical
12,2020-12-31,107.57142857142857,1679.0,97,16,288,Historical
13,2021-01-01,124.85714285714286,1790.0,86,11,289,Historical
14,2021-01-02,132.14285714285714,1805.0,86,11,289,Historical
15,2021-01-03,139.85714285714286,1750.0,86,11,289,Historical
16,2021-01-04,146.0,1705.0,86,11,289,Historical
17,2021-01-05,152.85714285714286,1763.0,96,18,289,Historical
18,2021-01-06,157.85714285714286,1799.0,123,21,299,Historical
19,2021-01-07,177.0,1992.0,121,24,299,Historical
20,2021-01-08,180.28571428571428,2136.0,129,24,303,Historical
21,2021-01-09,191.57142857142858,2266.0,129,24,307,Historical
22,2021-01-10,198.85714285714286,2371.0,129,24,309,Historical
23,2021-01-11,210.71428571428572,2497.0,126,25,309,Historical
24,2021-01-12,209.28571428571428,2535.0,124,26,309,Historical
25,2021-01-13,204.0,2533.0,114,26,312,Historical
26,2021-01-14,183.57142857142858,2524.0,104,24,318,Historical
27,2021-01-15,167.28571428571428,2433.0,108,20,318,Historical
28,2021-01-16,155.14285714285714,2427.0,108,20,320,Historical
29,2021-01-17,145.42857142857142,2423.0,108,20,322,Historical
