,Date,Reported_New_Cases,Active_Cases,Hospitalized,ICU,Fatal,Scenario
0,2021-01-10,198.6173036355092,2370.0,128.100154897066,24.06592221509127,309.74595141471883,Pessimistic
1,2021-01-11,202.39771625195453,2526.0,134.37637749832643,25.524244846760038,311.23344422393717,Pessimistic
2,2021-01-12,202.27419830439158,2652.0,140.52227900662712,27.021067870301515,312.8096302108714,Pessimistic
3,2021-01-13,204.2196914009296,2748.0,146.54471139214536,28.54909274661309,314.4765957588243,Pessimistic
4,2021-01-14,207.42457087116418,2767.0,152.45510623082356,30.101982930449587,316.2360179948235,Pessimistic
5,2021-01-15,211.41007409041413,2737.0,158.2675213759468,31.674373299669107,318.0892230893751,Pessimistic
6,2021-01-16,215.89298395554397,2782.0,163.99722994527514,33.261831056126496,320.03724356054147,Pessimistic
7,2021-01-17,220.70564235155916,2854.0,169.65974017336168,34.860786577457034,322.08087225101576,Pessimistic
8,2021-01-18,225.7486654856025,2991.0,175.27014344557142,36.4684478559497,324.2207116065579,Pessimistic
9,2021-01-19,230.9629879097006,3098.0,180.84270425312738,38.082708161429835,326.45721757787913,Pessimistic
10,2021-01-20,236.31333167319826,3191.0,186.39062345349726,39.70205344300513,328.7907379483966,Pessimistic
11,2021-01-21,241.77842939605034,3111.0,191.92592223755946,41.3254736437207,331.2215452073784,Pessimistic
12,2021-01-22,247.34524027565476,3094.0,197.45940759018993,42.952380404219284,333.74986428464337,Pessimistic
13,2021-01-23,253.00552697485818,3097.0,203.00069067638196,44.58253243714321,336.3758955735257,Pessimistic
14,2021-01-24,258.7538285809096,3157.0,208.55823777333111,46.21596904066629,339.0998337196851,Pessimistic
0,2021-01-10,198.6173036355092,2370.0,126.83817091215059,24.008927425532786,309.7412298051685,Expected
1,2021-01-11,199.5677426041375,2524.0,132.51752098912633,25.428297586892324,311.2242044229425,Expected
2,2021-01-12,195.5176282903958,2644.0,137.9338625907603,26.87091213226724,312.7930896698814,Expected
3,2021-01-13,194.17909013914095,2730.0,143.0940712638617,28.327131256791354,314.44898515417674,Expected
4,2021-01-14,194.46565443363897,2736.0,148.01145183185778,29.788529306809412,316.19244816583745,Expected
5,2021-01-15,195.72800937978445,2691.0,152.70310310213185,31.247922689003115,318.02356777170644,Expected
6,2021-01-16,197.57792184126947,2718.0,157.18799634302133,32.699330566356004,319.94203842797447,Expected
7,2021-01-17,199.78308427739603,2769.0,161.4856290781048,34.1378931167512,321.9472298538938,Expected
8,2021-01-18,202.20431630815256,2882.0,165.61512196023557,35.55976586270803,324.0382512048106,Expected
9,2021-01-19,204.75805816132333,2963.0,169.59464531194314,36.962003301698964,326.2140085292895,Expected
10,2021-01-20,207.39396788996828,3027.0,173.44108383457362,38.34244088723841,328.4732551581083,Expected
11,2021-01-21,210.08153890897984,2915.0,177.16986859215825,39.69958124252393,330.8146351161816,Expected
12,2021-01-22,212.80210514225382,2864.0,180.79492295191895,41.03248816784215,333.2367199279667,Expected
13,2021-01-23,215.54406436334375,2830.0,184.32868333953235,42.3406903555781,335.7380393482105,Expected
14,2021-01-24,218.30002406554286,2849.0,187.7821666868785,43.62409559399386,338.317106628526,Expected
0,2020-12-12,104.14285714285714,1376.0,58,21,271,Historical
1,2020-12-13,102.0,1409.0,58,21,274,Historical
2,2020-12-14,117.57142857142857,1514.0,58,21,274,Historical
3,2020-12-15,118.14285714285714,1527.0,57,17,274,Historical
4,2020-12-16,122.42857142857143,1559.0,60,19,278,Historical
5,2020-12-17,125.14285714285714,1557.0,53,14,280,Historical
6,2020-12-18,131.0,1581.0,52,14,281,Historical
7,2020-12-19,125.0,1604.0,52,14,281,Historical
8,2020-12-20,141.28571428571428,1703.0,52,14,282,Historical
9,2020-12-21,133.28571428571428,1756.0,49,15,282,Historical
10,2020-12-22,134.57142857142858,1769.0,49,15,282,Historical
11,2020-12-23,134.14285714285714,1796.0,67,14,285,Historical
12,2020-12-24,132.28571428571428,1802.0,67,14,285,Historical
13,2020-12-25,130.85714285714286,1833.0,64,11,285,Historical
14,2020-12-26,125.71428571428571,1755.0,64,11,285,Historical
15,2020-12-27,110.14285714285714,1760.0,64,11,285,Historical
16,2020-12-28,97.57142857142857,1616.0,125,23,285,Historical
17,2020-12-29,99.0,1635.0,89,14,285,Historical
18,2020-12-30,99.14285714285714,1633.0,81,14,285,Historical
19,2020-12-31,107.57142857142857,1679.0,97,16,288,Historical
20,2021-01-01,124.85714285714286,1790.0,86,11,289,Historical
21,2021-01-02,132.14285714285714,1805.0,86,11,289,Historical
22,2021-01-03,139.85714285714286,1750.0,86,11,289,Historical
23,2021-01-04,146.0,1705.0,86,11,289,Historical
24,2021-01-05,152.85714285714286,1763.0,96,18,289,Historical
25,2021-01-06,157.85714285714286,1799.0,123,21,299,Historical
26,2021-01-07,177.0,1992.0,121,24,299,Historical
27,2021-01-08,180.28571428571428,2136.0,129,24,303,Historical
28,2021-01-09,191.57142857142858,2266.0,129,24,307,Historical
29,2021-01-10,198.85714285714286,2370.0,129,24,309,Historical
