,Date,Reported_New_Cases,Active_Cases,Hospitalized,ICU,Fatal,Scenario
0,2020-09-20,100.72647795700868,1545.6046389779083,179.77236702559702,50.17217913722048,118.73556441071615,Pessimistic
1,2020-09-21,98.8781610208996,1471.6660149357572,178.78161180683776,49.90657696401518,121.13745305396267,Pessimistic
2,2020-09-22,95.0613759578489,1396.7735705635475,177.65080290980742,49.639559112223466,123.52657307358496,Pessimistic
3,2020-09-23,92.10755562779036,1355.4698333580677,176.37650986526018,49.367675275034436,125.90277268456369,Pessimistic
4,2020-09-24,89.69626279452018,1329.0993750163173,174.96265104920084,49.08781772674936,128.26574207153527,Pessimistic
5,2020-09-25,87.62954165824954,1334.884427846758,173.41779443810157,48.797337267259714,130.61503294653625,Pessimistic
6,2020-09-26,85.78505283044069,1352.9715700376826,171.7532095432415,48.49409023761755,132.95008191089715,Pessimistic
7,2020-09-27,84.08714219092462,1333.460550191376,169.98149805826216,48.17643979896949,135.27023489682423,Pessimistic
8,2020-09-28,82.48898015369332,1254.422085017807,168.11565905175652,47.84322847690097,137.57477092339155,Pessimistic
9,2020-09-29,80.96153482643103,1219.9088490045026,166.1684734468103,47.4937341027252,139.86292409586343,Pessimistic
10,2020-09-30,79.48676398669568,1187.962260610632,164.15211846238068,47.127617569738504,142.13390326622894,Pessimistic
11,2020-10-01,78.05341160612943,1187.6166730148514,162.07794439894343,46.74486806159837,144.3869091072376,Pessimistic
12,2020-10-02,76.65441240421933,1206.9019622490162,159.95636355328304,46.345749402196226,146.6211485729404,Pessimistic
13,2020-10-03,75.2852892341648,1180.1186477846252,157.79681458846034,45.93074974677608,148.83584685759823,Pessimistic
14,2020-10-04,73.94316349261771,,155.60777599033926,45.50053583830391,151.030257045985,Pessimistic
0,2020-09-20,100.72647795700868,1543.7974534436828,178.4913333404844,50.11998361139201,118.73204674831676,Expected
1,2020-09-21,97.07097548667412,1465.6677426481574,176.93421482335305,49.820111531284766,121.13065371701087,Expected
2,2020-09-22,90.8702892044746,1384.7765758286503,175.13523340381172,49.50652127558572,123.51455769087171,Expected
3,2020-09-23,86.10883318049287,1336.0494774520073,173.1007969323192,49.17449368414103,125.88298436262525,Expected
4,2020-09-24,82.27290162335703,1301.0901816639505,170.84640635258532,48.82004498807379,128.23494989058474,Expected
5,2020-09-25,79.0407042119432,1297.3005928030097,168.3929871519291,48.44003626085464,130.56929925519026,Expected
6,2020-09-26,76.21041113905926,1304.9557779202346,165.7642345665496,48.032193618364836,132.8847475843859,Expected
7,2020-09-27,73.65518511722485,1274.2508556977352,162.98475641716416,47.59507035654235,135.17992094766032,Expected
8,2020-09-28,71.29507777750064,1183.3303207318083,160.07882312527462,47.1279741119789,137.45339441516958,Expected
9,2020-09-29,69.07946503407311,1136.306389451999,157.0695675098862,46.63087556158357,139.70372612266507,Expected
10,2020-09-30,66.9760687201906,1091.2704838880106,153.9785096093077,46.10431007005109,141.92948674764702,Expected
11,2020-10-01,64.96409443601169,1077.3004258910967,150.8253106007476,45.54927984889176,144.1292842529194,Expected
12,2020-10-02,63.029942003086035,1082.4649497395442,147.62768380415486,44.96716137466706,146.3017840455427,Expected
13,2020-10-03,61.164523848447516,1041.1000602004858,144.40140980793484,44.359620804403164,148.44572487601994,Expected
14,2020-10-04,59.361588417950315,,141.16041750074064,43.728538730402256,150.55993089836235,Expected
0,2020-08-22,223.85714285714286,,227,44,46,Historical
1,2020-08-23,223.14285714285714,,192,35,47,Historical
2,2020-08-24,234.71428571428572,,192,35,47,Historical
3,2020-08-25,237.0,,250,35,49,Historical
4,2020-08-26,247.0,,270,50,49,Historical
5,2020-08-27,252.0,,291,54,51,Historical
6,2020-08-28,255.71428571428572,,286,56,55,Historical
7,2020-08-29,248.85714285714286,,279,55,59,Historical
8,2020-08-30,243.71428571428572,,272,57,62,Historical
9,2020-08-31,238.85714285714286,,272,57,63,Historical
10,2020-09-01,247.71428571428572,,297,57,70,Historical
11,2020-09-02,234.14285714285714,,288,48,74,Historical
12,2020-09-03,235.0,,276,47,75,Historical
13,2020-09-04,222.28571428571428,3309.0,277,51,79,Historical
14,2020-09-05,217.14285714285714,3268.0,265,50,81,Historical
15,2020-09-06,213.14285714285714,3315.0,265,50,84,Historical
16,2020-09-07,196.71428571428572,3393.0,265,50,85,Historical
17,2020-09-08,162.57142857142858,3368.0,265,50,86,Historical
18,2020-09-09,156.57142857142858,3409.0,257,47,88,Historical
19,2020-09-10,141.71428571428572,3346.0,240,53,91,Historical
20,2020-09-11,128.85714285714286,3262.0,240,52,94,Historical
21,2020-09-12,121.71428571428571,3198.0,220,51,96,Historical
22,2020-09-13,118.14285714285714,3049.0,220,51,97,Historical
23,2020-09-14,118.14285714285714,2872.0,225,53,99,Historical
24,2020-09-15,118.42857142857143,2735.0,225,53,99,Historical
25,2020-09-16,117.14285714285714,2637.0,222,60,100,Historical
26,2020-09-17,109.57142857142857,2458.0,210,56,103,Historical
27,2020-09-18,106.57142857142857,2372.0,197,51,107,Historical
28,2020-09-19,101.28571428571429,2319.0,200,52,120,Historical
29,2020-09-20,97.85714285714286,2204.0,185,51,120,Historical
