,Date,Reported_New_Cases,Active_Cases,Hospitalized,ICU,Fatal,Scenario
0,2020-10-26,92.9637233818629,1204.0,64.25960858677634,14.891458496285457,211.89396583245784,Pessimistic
1,2020-10-27,94.28543864469134,1228.2491620265544,64.38067729587483,14.23500132740364,212.30157959888106,Pessimistic
2,2020-10-28,94.0728672030707,1231.322029229625,64.59176095834242,13.643002042050417,212.69172740526838,Pessimistic
3,2020-10-29,94.53477560535157,1236.8568048349766,64.87987571174452,13.110309727798052,213.06614113371214,Pessimistic
4,2020-10-30,95.40589055853616,1236.2626953935128,65.23512770961906,12.63212956113785,213.42641341963838,Pessimistic
5,2020-10-31,96.52780829929497,1249.7905036928078,65.64991040350063,12.204020425696148,213.7740076116387,Pessimistic
6,2020-11-01,97.80592622066388,1316.5964299134716,66.1182990888762,11.821884492175062,214.110267544485,Pessimistic
7,2020-11-02,99.18373107323919,1324.7801609867108,66.63560097635246,11.481951602705315,214.4364269419275,Pessimistic
8,2020-11-03,100.62744842249731,1347.4076094092081,67.1980247168863,11.180760570226493,214.75361833488662,Pessimistic
9,2020-11-04,102.11687758640915,1347.5244869956173,67.80243993283199,10.915138915750891,215.06288143118815,Pessimistic
10,2020-11-05,103.63991932827184,1320.1644063238891,68.44620356943035,10.682182111517442,215.36517090897468,Pessimistic
11,2020-11-06,105.18930823111214,1335.3537145550013,69.12703526442355,10.479233055524414,215.66136363080045,Pessimistic
12,2020-11-07,106.76066139053728,1321.1143759455385,69.84292831640089,10.303862250661084,215.95226529201187,Pessimistic
13,2020-11-08,108.35131306106086,1391.4656890065994,70.59208627936378,10.153848979494864,216.23861652757338,Pessimistic
14,2020-11-09,109.95961860657826,1408.4615842313146,71.37287785732161,10.02716363674872,216.52109850773633,Pessimistic
0,2020-10-26,92.9637233818629,1204.0,63.90118968184006,14.884716139068344,211.8937041602823,Expected
1,2020-10-27,93.13889773861729,1227.1026211204803,63.855188950568376,14.223692210147147,212.30106898655654,Expected
2,2020-10-28,91.35429426606652,1227.4569153865468,63.86354264696177,13.625370093033844,212.69081602316717,Expected
3,2020-10-29,90.53019442280129,1228.987109809348,63.913880442630436,13.084347268250761,213.06462438305394,Expected
4,2020-10-30,90.28424973598112,1223.2713595453292,63.997448151555396,12.595611901728159,213.4240273646995,Expected
5,2020-10-31,90.38618400146925,1230.6575435467985,64.10809684723996,12.154542086177967,213.7704234097961,Expected
6,2020-11-01,90.69728629166161,1290.35482983846,64.24152225818142,11.756894753829123,214.1050868854058,Expected
7,2020-11-02,91.13398058309008,1290.4888104215502,64.39470408966166,11.398787898169854,214.4291784546502,Expected
8,2020-11-03,91.64589087739182,1304.134701298942,64.56549996346511,11.076678826908465,214.74375488864365,Expected
9,2020-11-04,92.20263362115952,1294.3373349201015,64.75235611484209,10.787340417242499,215.04977823769462,Expected
10,2020-11-05,92.78586473660926,1256.1231996567108,64.95410460680273,10.527836755449364,215.3481243263881,Expected
11,2020-11-06,93.38449051676344,1259.5076901734742,65.16982363707513,10.295499095647667,215.63959056929315,Expected
12,2020-11-07,93.99178360210271,1232.499473775577,65.39874319445646,10.087902741881415,215.924903125346,Expected
13,2020-11-08,94.60364612953163,1289.1031199051085,65.64018285764129,9.902845218683984,216.20472342234086,Expected
14,2020-11-09,95.21756369996683,1291.3569602232124,65.89351204746376,9.738325926398463,216.47965409068036,Expected
0,2020-09-27,102.0,1423.0,150,48,131,Historical
1,2020-09-28,106.85714285714286,1433.0,148,48,132,Historical
2,2020-09-29,110.28571428571429,1454.0,147,44,132,Historical
3,2020-09-30,103.57142857142857,1473.0,147,44,132,Historical
4,2020-10-01,106.14285714285714,1421.0,140,47,136,Historical
5,2020-10-02,102.57142857142857,1394.0,130,45,139,Historical
6,2020-10-03,103.42857142857143,1417.0,125,40,142,Historical
7,2020-10-04,99.42857142857143,1410.0,128,39,153,Historical
8,2020-10-05,94.0,1406.0,128,39,156,Historical
9,2020-10-06,93.42857142857143,1426.0,128,39,157,Historical
10,2020-10-07,91.85714285714286,1368.0,115,35,160,Historical
11,2020-10-08,90.85714285714286,1379.0,109,35,163,Historical
12,2020-10-09,100.57142857142857,1422.0,111,32,164,Historical
13,2020-10-10,92.0,1368.0,106,29,166,Historical
14,2020-10-11,96.71428571428571,1373.0,103,34,168,Historical
15,2020-10-12,95.28571428571429,1325.0,103,34,169,Historical
16,2020-10-13,92.28571428571429,1300.0,103,34,169,Historical
17,2020-10-14,91.0,1280.0,109,26,173,Historical
18,2020-10-15,89.57142857142857,1263.0,105,27,183,Historical
19,2020-10-16,80.14285714285714,1265.0,103,23,184,Historical
20,2020-10-17,83.42857142857143,1228.0,100,25,185,Historical
21,2020-10-18,80.57142857142857,1241.0,96,22,186,Historical
22,2020-10-19,79.0,1220.0,96,22,187,Historical
23,2020-10-20,83.14285714285714,1228.0,96,22,187,Historical
24,2020-10-21,79.85714285714286,1196.0,81,19,189,Historical
25,2020-10-22,81.42857142857143,1197.0,75,18,203,Historical
26,2020-10-23,87.42857142857143,1173.0,75,18,206,Historical
27,2020-10-24,86.57142857142857,1190.0,71,18,209,Historical
28,2020-10-25,92.0,1208.0,64,15,212,Historical
29,2020-10-26,93.0,1204.0,64,15,212,Historical
