County,Date,New Cases,New Positive Tests,Total Test Encounters
Hawaii,8/16/2020,2,2,143
Hawaii,8/17/2020,3,4,123
Hawaii,8/18/2020,7,10,364
Hawaii,8/19/2020,5,8,200
Hawaii,8/20/2020,14,14,361
Hawaii,8/21/2020,15,13,403
Hawaii,8/22/2020,8,8,389
Hawaii,8/23/2020,9,7,460
Hawaii,8/24/2020,11,12,535
Hawaii,8/25/2020,23,23,582
Hawaii,8/26/2020,10,11,253
Hawaii,8/27/2020,26,24,683
Hawaii,8/28/2020,39,43,850
Hawaii,8/29/2020,21,22,522
Hawaii,8/30/2020,25,23,309
Hawaii,8/31/2020,18,19,984
Hawaii,9/1/2020,34,34,716
Hawaii,9/2/2020,17,16,749
Hawaii,9/3/2020,34,36,801
Hawaii,9/4/2020,23,21,522
Hawaii,9/5/2020,13,14,804
Hawaii,9/6/2020,11,13,277
Hawaii,9/7/2020,6,5,250
Hawaii,9/8/2020,13,14,631
Hawaii,9/9/2020,7,10,945
Hawaii,9/10/2020,21,20,745
Hawaii,9/11/2020,8,12,526
Hawaii,9/12/2020,19,13,700
Hawaii,9/13/2020,7,7,466
Hawaii,9/14/2020,5,9,522
Hawaii,9/15/2020,4,11,925
Hawaii,9/16/2020,19,10,688
Hawaii,9/17/2020,10,11,735
Hawaii,9/18/2020,7,6,648
Hawaii,9/19/2020,5,7,697
Hawaii,9/20/2020,7,7,372
Hawaii,9/21/2020,8,5,598
Hawaii,9/22/2020,12,14,1050
Hawaii,9/23/2020,6,6,512
Hawaii,9/24/2020,14,15,612
Hawaii,9/25/2020,3,2,519
Hawaii,9/26/2020,7,7,726
Hawaii,9/27/2020,0,1,301
Hawaii,9/28/2020,3,3,272
Hawaii,9/29/2020,25,26,961
Hawaii,9/30/2020,6,7,392
Hawaii,10/1/2020,16,18,751
Hawaii,10/2/2020,43,40,1048
Hawaii,10/3/2020,15,17,662
Hawaii,10/4/2020,10,9,336
Hawaii,10/5/2020,13,13,366
Hawaii,10/6/2020,18,18,978
Hawaii,10/7/2020,14,14,707
Hawaii,10/8/2020,44,43,1136
Hawaii,10/9/2020,15,17,718
Hawaii,10/10/2020,24,22,763
Hawaii,10/11/2020,5,5,355
Hawaii,10/12/2020,21,22,425
Hawaii,10/13/2020,18,20,682
Hawaii,10/14/2020,13,12,562
Hawaii,10/15/2020,20,21,1068
Hawaii,10/16/2020,12,12,513
Hawaii,10/17/2020,14,19,803
Hawaii,10/18/2020,7,4,221
Hawaii,10/19/2020,23,22,453
Hawaii,10/20/2020,9,14,762
Hawaii,10/21/2020,29,24,638
Hawaii,10/22/2020,34,34,1105
Hawaii,10/23/2020,16,17,900
Hawaii,10/24/2020,51,51,930
Hawaii,10/25/2020,9,9,329
Hawaii,10/26/2020,3,3,545
Hawaii,10/27/2020,5,5,828
Hawaii,10/28/2020,7,9,797
Hawaii,10/29/2020,14,14,1005
Hawaii,10/30/2020,15,21,888
Hawaii,10/31/2020,26,24,898
Hawaii,11/1/2020,5,6,202
Hawaii,11/2/2020,7,7,514
Hawaii,11/3/2020,21,24,1430
Hawaii,11/4/2020,22,25,792
Hawaii,11/5/2020,21,23,1258
Hawaii,11/6/2020,11,10,930
Hawaii,11/7/2020,19,20,1043
Hawaii,11/8/2020,4,5,133
Hawaii,11/9/2020,3,1,292
Hawaii,11/10/2020,23,22,786
Hawaii,11/11/2020,15,16,702
Hawaii,11/12/2020,8,10,904
Hawaii,11/13/2020,12,12,864
Hawaii,11/14/2020,8,9,776
Hawaii,11/15/2020,6,6,428
Hawaii,11/16/2020,2,2,280
Hawaii,11/17/2020,11,12,843
Hawaii,11/18/2020,13,14,640
Hawaii,11/19/2020,15,13,1124
Hawaii,11/20/2020,13,15,793
Hawaii,11/21/2020,10,9,612
Hawaii,11/22/2020,6,7,470
Hawaii,11/23/2020,2,4,290
Hawaii,11/24/2020,11,11,866
Hawaii,11/25/2020,5,5,603
Hawaii,11/26/2020,16,20,666
Hawaii,11/27/2020,4,7,650
Hawaii,11/28/2020,4,4,602
Hawaii,11/29/2020,6,6,401
Hawaii,11/30/2020,2,4,463
Hawaii,12/1/2020,5,8,824
Hawaii,12/2/2020,12,9,795
Hawaii,12/3/2020,12,11,1202
Hawaii,12/4/2020,5,4,626
Hawaii,12/5/2020,7,7,653
Hawaii,12/6/2020,5,5,366
