,Date,Reported_New_Cases,Active_Cases,Hospitalized,ICU,Fatal,Scenario
0,2021-01-24,114.81852581607995,1787.0,83.90345241676658,20.949081608988863,343.41892969952426,Pessimistic
1,2021-01-25,117.1207463372939,1732.0,83.76871901729032,20.733338198134206,344.877706037687,Pessimistic
2,2021-01-26,118.7699014582206,1737.0,83.6957624965036,20.53595171895857,346.32202551287685,Pessimistic
3,2021-01-27,119.97086565506402,1751.0,83.67551858417882,20.35638460157541,347.75315515854396,Pessimistic
4,2021-01-28,120.89862554927345,1693.0,83.70045409107027,20.193975462168442,349.1723197739801,Pessimistic
5,2021-01-29,121.65875119690281,1665.0,83.76421156811512,20.04797928423794,350.58069473314987,Pessimistic
6,2021-01-30,122.31491722923738,1622.0,83.86136364332894,19.917597511446584,351.9794012330367,Pessimistic
7,2021-01-31,122.90551128505513,1613.0,83.98723717413785,19.802000873675528,353.36950338087524,Pessimistic
8,2021-02-01,123.4536575834345,1607.0,84.13778283480322,19.700346834691178,354.75200668194395,Pessimistic
9,2021-02-02,123.97326681409004,1666.0,84.30947509720703,19.611792962029316,356.1278575996572,Pessimistic
10,2021-02-03,124.4726879080331,1715.0,84.49923320894113,19.535507142778396,357.4979439365947,Pessimistic
11,2021-02-04,124.95691244123964,1721.0,84.70435719828832,19.470675321700536,358.8630958405254,Pessimistic
12,2021-02-05,125.42890543131352,1714.0,84.92247502619067,19.416507271477016,360.22408728062976,Pessimistic
13,2021-02-06,125.89040880364155,1706.0,85.1514982920419,19.372240789026304,361.5816378705256,Pessimistic
14,2021-02-07,126.34242652641251,1717.0,85.3895847020574,19.337144628659452,362.93641493920916,Pessimistic
0,2021-01-24,114.81852581607995,1787.0,83.58861464617796,20.938365684318775,343.4178829472546,Expected
1,2021-01-25,116.06673185896148,1731.0,83.3104989237091,20.7154707916013,344.87567334208313,Expected
2,2021-01-26,116.30924056445178,1733.0,83.06545166732205,20.508261429364573,346.31841494581937,Expected
3,2021-01-27,116.4034718073085,1743.0,82.84564106130267,20.315857712284593,347.74717545228947,Expected
4,2021-01-28,116.40486859717907,1680.0,82.64520682810404,20.137319795561755,349.16295857415463,Expected
5,2021-01-29,116.3470966237478,1646.0,82.45971082371967,19.971689129690677,350.5667013849493,Expected
6,2021-01-30,116.25060634409283,1597.0,82.28574919530625,19.818015983451676,351.9592740393906,Expected
7,2021-01-31,116.12782848414872,1581.0,82.12067696440832,19.675377405803925,353.34148106551027,Expected
8,2021-02-01,115.9863268905201,1568.0,81.96241126483137,19.542888534616342,354.7140636671811,Expected
9,2021-02-02,115.83071193673777,1619.0,81.80928989380317,19.419709286739586,356.07770264673707,Expected
10,2021-02-03,115.66380180484202,1660.0,81.65996895792306,19.305047856833493,357.4330216772751,Expected
11,2021-02-04,115.48732732998542,1656.0,81.5133482883014,19.198162028532263,358.78059073843065,Expected
12,2021-02-05,115.30235983205876,1639.0,81.36851667875419,19.09835900445687,360.1209295886594,Expected
13,2021-02-06,115.1095708162702,1620.0,81.22471134698095,19.004994252622264,361.4545111887763,Expected
14,2021-02-07,114.90938962114114,1620.0,81.08128765505296,18.91746971934812,362.7817650208709,Expected
0,2020-12-26,125.71428571428571,1755.0,64,11,285,Historical
1,2020-12-27,110.14285714285714,1760.0,64,11,285,Historical
2,2020-12-28,97.57142857142857,1616.0,125,23,285,Historical
3,2020-12-29,99.0,1635.0,89,14,285,Historical
4,2020-12-30,99.14285714285714,1633.0,81,14,285,Historical
5,2020-12-31,107.57142857142857,1679.0,97,16,288,Historical
6,2021-01-01,124.85714285714286,1790.0,86,11,289,Historical
7,2021-01-02,132.14285714285714,1805.0,86,11,289,Historical
8,2021-01-03,139.85714285714286,1750.0,86,11,289,Historical
9,2021-01-04,146.0,1705.0,86,11,289,Historical
10,2021-01-05,152.85714285714286,1763.0,96,18,289,Historical
11,2021-01-06,157.85714285714286,1799.0,123,21,299,Historical
12,2021-01-07,177.0,1992.0,121,24,299,Historical
13,2021-01-08,180.28571428571428,2136.0,129,24,303,Historical
14,2021-01-09,191.57142857142858,2266.0,129,24,307,Historical
15,2021-01-10,198.85714285714286,2371.0,129,24,309,Historical
16,2021-01-11,210.71428571428572,2497.0,126,25,309,Historical
17,2021-01-12,209.28571428571428,2535.0,124,26,309,Historical
18,2021-01-13,204.0,2533.0,114,26,312,Historical
19,2021-01-14,183.57142857142858,2524.0,104,24,318,Historical
20,2021-01-15,167.28571428571428,2433.0,108,20,318,Historical
21,2021-01-16,155.14285714285714,2427.0,108,20,320,Historical
22,2021-01-17,145.42857142857142,2410.0,108,20,322,Historical
23,2021-01-18,139.28571428571428,2450.0,108,20,322,Historical
24,2021-01-19,132.28571428571428,2391.0,55,13,324,Historical
25,2021-01-20,127.85714285714286,2323.0,102,21,325,Historical
26,2021-01-21,119.28571428571429,2120.0,100,23,328,Historical
27,2021-01-22,116.71428571428571,1988.0,84,21,332,Historical
28,2021-01-23,112.28571428571429,1872.0,84,21,336,Historical
29,2021-01-24,115.28571428571429,1787.0,84,21,342,Historical
