,Date,Reported_New_Cases,Active_Cases,Hospitalized,ICU,Fatal,Scenario
0,2020-09-29,110.77032673038116,1454.0,147.31461871031777,44.038293045914266,131.8627651214332,Pessimistic
1,2020-09-30,115.087897601333,1417.8582243317142,149.22061195513126,43.63654880893538,133.9578298425309,Pessimistic
2,2020-10-01,118.70753306243523,1422.5657573941494,151.47119356869996,43.32629403347849,136.03587738352576,Pessimistic
3,2020-10-02,122.39979180950422,1434.9655492036536,154.0373582475393,43.107239780536645,138.10127701899378,Pessimistic
4,2020-10-03,126.17685406003307,1484.1424032636867,156.8954349656554,42.97845519629077,140.15836804502223,Pessimistic
5,2020-10-04,130.04667350265822,1558.189076766345,160.02601281711034,42.938550368377754,142.21143365346956,Pessimistic
6,2020-10-05,134.01471004507175,1629.2037868114166,163.41311409540722,42.98581769633401,144.26468251232978,Pessimistic
7,2020-10-06,138.0849467167352,1599.2887335281519,167.0435516203018,43.118341181842595,146.32223630444133,Pessimistic
8,2020-10-07,142.26048555858006,1651.549219086732,170.9064244173875,43.33408077378203,148.38812186937344,Pessimistic
9,2020-10-08,146.54389583199963,1686.0931149187315,174.9927180989072,43.630937218787736,150.46626689214452,Pessimistic
10,2020-10-09,150.9374164538708,1710.0305313726024,179.29498511041757,44.00680160990671,152.56049831145955,Pessimistic
11,2020-10-10,155.44307257363107,1767.4736039462334,183.80708639065455,44.45959287947495,154.6745427968801,Pessimistic
12,2020-10-11,160.06274152108108,1837.5363454673145,188.523980638021,44.98728576529369,156.81202878158754,Pessimistic
13,2020-10-12,164.79818883877715,1915.3345343060917,193.44155077789273,45.58793123205588,158.97648964463178,Pessimistic
14,2020-10-13,169.65108657853943,1974.2152941542502,198.55645972856593,46.25967090955578,161.17136772081292,Pessimistic
0,2020-09-29,110.77032673038116,1454.0,146.43636616732212,44.002822784252935,131.86042500713333,Expected
1,2020-09-30,113.70137040037935,1416.4716971307605,147.92469777009464,43.576781455812515,133.95324855870965,Expected
2,2020-10-01,115.4073702356061,1417.8790673663666,149.66256384412438,43.2326365652818,136.0276706058557,Expected
3,2020-10-02,117.49943143653036,1425.378498802897,151.61965340971418,42.96856281366729,138.08756468416726,Expected
4,2020-10-03,119.8400459462141,1468.218544749111,153.77210072874576,42.78222131151643,140.13670391228823,Expected
5,2020-10-04,122.3478402365497,1534.5663849856608,156.1009763942314,42.67095270939658,142.17874129617317,Expected
6,2020-10-05,124.9747068613483,1596.541091847009,158.5911391553313,42.631918266231175,144.21719796142904,Expected
7,2020-10-06,127.69224864946727,1556.2333404964763,161.2303656490369,42.66220191686475,146.25545715138864,Expected
8,2020-10-07,130.4837424690777,1596.717082965554,164.0086917592886,42.758883258443284,148.29676237479092,Expected
9,2020-10-08,133.3393745707608,1618.0564575363148,166.91791386628003,42.919088931318115,150.34421850016136,Expected
10,2020-10-09,136.25341516613025,1627.309872702445,169.95121027973323,43.14002799819119,152.40079490455167,Expected
11,2020-10-10,139.22254254991822,1668.5324152523633,173.10285274292553,43.419015506686186,154.46933001666366,Expected
12,2020-10-11,142.24484868377976,1720.777263936143,176.36798535898745,43.753487353741995,156.552536767715,Expected
13,2020-10-12,145.3192487761562,1779.0965127122993,179.74245400250533,44.14100877215922,158.65300859246224,Expected
14,2020-10-13,148.44513037527668,1816.7713163571948,183.22267359757046,44.579278164660316,160.7732257187905,Expected
0,2020-09-01,243.71428571428572,3315.0,297,57,70,Historical
1,2020-09-02,238.85714285714286,3393.0,288,48,74,Historical
2,2020-09-03,247.71428571428572,3368.0,276,47,75,Historical
3,2020-09-04,234.14285714285714,3409.0,277,51,79,Historical
4,2020-09-05,235.0,3346.0,265,50,81,Historical
5,2020-09-06,222.28571428571428,3262.0,265,50,84,Historical
6,2020-09-07,217.14285714285714,3198.0,265,50,85,Historical
7,2020-09-08,213.14285714285714,3049.0,265,50,86,Historical
8,2020-09-09,196.71428571428572,2872.0,257,47,88,Historical
9,2020-09-10,162.57142857142858,2735.0,240,53,91,Historical
10,2020-09-11,156.57142857142858,2637.0,240,52,94,Historical
11,2020-09-12,141.71428571428572,2458.0,220,51,96,Historical
12,2020-09-13,128.85714285714286,2372.0,220,51,97,Historical
13,2020-09-14,121.71428571428571,2319.0,225,53,99,Historical
14,2020-09-15,118.14285714285714,2204.0,225,53,99,Historical
15,2020-09-16,118.14285714285714,1967.0,222,60,100,Historical
16,2020-09-17,118.42857142857143,1916.0,210,56,103,Historical
17,2020-09-18,117.14285714285714,1759.0,197,51,107,Historical
18,2020-09-19,109.57142857142857,1648.0,200,52,120,Historical
19,2020-09-20,106.57142857142857,1561.0,185,51,120,Historical
20,2020-09-21,101.28571428571429,1512.0,185,51,120,Historical
21,2020-09-22,97.85714285714286,1509.0,185,51,120,Historical
22,2020-09-23,97.42857142857143,1577.0,181,61,120,Historical
23,2020-09-24,106.85714285714286,1498.0,162,54,122,Historical
24,2020-09-25,96.85714285714286,1443.0,150,55,124,Historical
25,2020-09-26,96.57142857142857,1439.0,150,55,127,Historical
26,2020-09-27,99.0,1423.0,150,48,131,Historical
27,2020-09-28,102.0,1433.0,148,48,132,Historical
28,2020-09-29,106.85714285714286,1454.0,147,44,132,Historical
29,2020-09-30,110.28571428571429,1416.4716971307605,147,44,132,Historical
