,Date,Reported_New_Cases,Active_Cases,Hospitalized,ICU,Fatal,Scenario
0,2020-11-22,106.93477038243805,1415.934770382438,72.68342246824042,22.88696634629693,233.6123608750513,Pessimistic
1,2020-11-23,110.47149786958175,1416.4062682520198,74.64679316870912,23.503479295177367,234.8184404967253,Pessimistic
2,2020-11-24,113.17267232662107,1472.5789405786409,76.663335005131,24.136830255440742,236.05701469998587,Pessimistic
3,2020-11-25,115.99612143404784,1481.5750620126887,78.72980626921746,24.78736593108579,237.32896878364247,Pessimistic
4,2020-11-26,118.91842989589509,1507.4934919085838,80.84434419762431,25.455305239531697,238.63520245977818,Pessimistic
5,2020-11-27,121.92609181649755,1532.4195837250813,83.00604086530022,26.1407951460337,239.97662475780237,Pessimistic
6,2020-11-28,125.01144778709613,1549.4310315121775,85.21464132070808,26.843947580680094,241.35415131077903,Pessimistic
7,2020-11-29,128.17028291911788,1569.6013144312954,87.47032987529782,27.56486318409942,242.7687031980897,Pessimistic
8,2020-11-30,131.40040628172528,1606.0017207130206,89.77357963967196,28.303645973777016,244.22120677197822,Pessimistic
9,2020-12-01,134.70081023515786,1669.7025309481785,92.12504721173767,29.06041182662552,245.71259407550846,Pessimistic
10,2020-12-02,138.07117241619562,1700.7737033643741,94.52549943683194,29.835292813171577,247.24380358643498,Pessimistic
11,2020-12-03,141.51156018567644,1735.2852635500506,96.97576282670077,30.628438803271514,248.81578111042617,Pessimistic
12,2020-12-04,145.02225469366067,1785.3075182437112,99.47668889105235,31.44001732523249,250.42948070887505,Pessimistic
13,2020-12-05,148.60364560336393,1779.9111638470752,102.0291305660474,32.27021235010093,252.0858655890621,Pessimistic
14,2020-12-06,152.25616753895747,1825.2325610035946,104.63392631617529,33.11922245458513,253.78590891335458,Pessimistic
0,2020-11-22,106.93477038243805,1415.934770382438,72.07692811850232,22.850514263078693,233.60973966369227,Expected
1,2020-11-23,108.77628643201342,1414.7110568144515,73.75416777666263,23.44217516600247,234.81331628165682,Expected
2,2020-11-24,109.149842428483,1466.8608992429345,75.42097170088437,24.04096227198314,236.04784944761235,Expected
3,2020-11-25,110.04901849012322,1469.9099177330577,77.07390162828437,24.645727004862746,237.31367995371224,Expected
4,2020-11-26,111.26882209253631,1488.178739825594,78.71170672423125,25.255344565671813,238.61108911789756,Expected
5,2020-11-27,112.68679554783171,1503.8655353734257,80.33458470903018,25.868779660392562,239.94030188507688,Expected
6,2020-11-28,114.22975568146921,1510.095291054895,81.94364755902737,26.48512205845153,241.30149251338776,Expected
7,2020-11-29,115.8539363140967,1517.9492273689916,83.5405433255238,27.103601651433284,242.69479154070333,Expected
8,2020-11-30,117.53313204736719,1540.4823594163588,85.12719435737512,27.7235900906272,244.12029315935976,Expected
9,2020-12-01,119.25161892437245,1588.7339783407313,86.70562066637487,28.344594067764284,245.57806244046395,Expected
10,2020-12-02,120.99992707836645,1602.7339054190977,88.27782451125778,28.966243781234997,247.06814207098745,Expected
11,2020-12-03,122.77231622335967,1618.5062216424574,89.84571827420062,29.58827900544376,248.59055842028823,Expected
12,2020-12-04,124.56526792020713,1648.0714895626645,91.41108242441213,30.210534365774237,250.1453268560584,Expected
13,2020-12-05,126.37658499990994,1620.4480745625744,92.97554398193685,30.832924841203766,251.73245629705704,Expected
14,2020-12-06,128.20485356701738,1641.7181577471538,94.54056861451852,31.455432110684967,253.3519530319358,Expected
0,2020-10-24,86.57142857142857,1190.0,71,18,209,Historical
1,2020-10-25,92.0,1208.0,64,15,212,Historical
2,2020-10-26,93.0,1204.0,64,15,212,Historical
3,2020-10-27,89.42857142857143,1208.0,64,15,212,Historical
4,2020-10-28,87.14285714285714,1169.0,61,15,215,Historical
5,2020-10-29,83.57142857142857,1155.0,61,15,213,Historical
6,2020-10-30,78.28571428571429,1160.0,62,15,215,Historical
7,2020-10-31,75.14285714285714,1132.0,59,11,216,Historical
8,2020-11-01,69.71428571428571,1132.0,58,8,219,Historical
9,2020-11-02,75.42857142857143,1179.0,58,8,219,Historical
10,2020-11-03,80.57142857142857,1190.0,65,11,219,Historical
11,2020-11-04,94.0,1268.0,57,11,219,Historical
12,2020-11-05,102.85714285714286,1305.0,57,11,219,Historical
13,2020-11-06,106.85714285714286,1296.0,68,13,219,Historical
14,2020-11-07,115.42857142857143,1334.0,69,13,219,Historical
15,2020-11-08,121.85714285714286,1341.0,75,13,220,Historical
16,2020-11-09,126.42857142857143,1413.0,75,13,221,Historical
17,2020-11-10,120.0,1404.0,72,22,221,Historical
18,2020-11-11,113.0,1449.0,77,16,222,Historical
19,2020-11-12,106.42857142857143,1465.0,73,16,222,Historical
20,2020-11-13,102.85714285714286,1468.0,69,16,222,Historical
21,2020-11-14,100.0,1508.0,63,14,222,Historical
22,2020-11-15,97.14285714285714,1533.0,78,16,222,Historical
23,2020-11-16,95.0,1550.0,78,18,222,Historical
24,2020-11-17,97.0,1519.0,83,15,222,Historical
25,2020-11-18,97.0,1470.0,82,19,223,Historical
26,2020-11-19,99.0,1438.0,77,23,223,Historical
27,2020-11-20,98.71428571428571,1411.0,77,23,224,Historical
28,2020-11-21,105.28571428571429,1437.0,72,23,231,Historical
29,2020-11-22,107.42857142857143,1415.934770382438,72,23,233,Historical
