,Date,Reported_New_Cases,Active_Cases,Hospitalized,ICU,Fatal,Scenario
0,2020-10-07,93.24968189825427,1368.0,113.86710725448192,34.67954512298068,160.59395788683747,Pessimistic
1,2020-10-08,92.9214934739,1352.1711753721543,113.37263603256346,34.00499583074334,162.7915674880493,Pessimistic
2,2020-10-09,92.69663946115475,1317.867814833309,112.93278815631318,33.383877050780725,164.94773713911488,Pessimistic
3,2020-10-10,92.53269718907632,1312.4005120223853,112.53641663859585,32.812229551875774,167.06575902699,Pessimistic
4,2020-10-11,92.4039297172701,1314.8044417396554,112.1750935179482,32.28624683632363,169.1486765653735,Pessimistic
5,2020-10-12,92.29472520413651,1320.099166943792,111.84237998780819,31.80231442450103,171.19929554202693,Pessimistic
6,2020-10-13,92.19561627702979,1291.2947832208217,111.53329571848192,31.357030992725655,173.2201971641917,Pessimistic
7,2020-10-14,92.10086468572217,1275.395647906544,111.2439336483876,30.947217032500063,175.21375203205946,Pessimistic
8,2020-10-15,92.00699565637046,1280.4026435629144,110.97118063946921,30.56991509185392,177.1821343788924,Pessimistic
9,2020-10-16,91.91190848318138,1239.3145520460957,110.71251495527493,30.2223844878445,179.12733613679055,Pessimistic
10,2020-10-17,91.81433677378527,1261.128888819881,110.46585935880468,29.902092529806886,181.0511805433554,Pessimistic
11,2020-10-18,91.71352087062905,1300.84240969051,110.22947440566234,29.606703680138274,182.9553351143495,Pessimistic
12,2020-10-19,91.6090090309226,1309.4514187214327,110.00188074525265,29.33406763947465,184.84132388390466,Pessimistic
13,2020-10-20,91.50053674734272,1290.9519554687754,109.78180233639645,29.08220702888406,186.7105388663686,Pessimistic
0,2020-10-07,90.77195378656347,1368.0,112.09639162502705,34.60394815028211,160.58607098634704,Expected
1,2020-10-08,87.14450198551685,1343.9164557720803,110.94687126446097,33.88817167807138,162.77758599502286,Expected
2,2020-10-09,84.35786383530899,1301.2743196073893,109.753364486383,33.21343662534949,164.92463222867846,Expected
3,2020-10-10,82.09927692048973,1285.373596527879,108.51326921403705,32.57478171038864,167.02967526377532,Expected
4,2020-10-11,80.17553757518453,1275.5491341030636,107.22760626179542,31.967703213767294,169.09487757292834,Expected
5,2020-10-12,78.46725145937285,1267.0163855624364,105.89968081527485,31.388178602499714,171.12212875047652,Expected
6,2020-10-13,76.90059205699072,1222.9169776194271,104.53412629498654,30.832661660220843,173.1130762735379,Expected
7,2020-10-14,75.4298663457987,1190.3468439652258,103.13623766998874,30.29805954532161,175.06915532602673,Expected
8,2020-10-15,74.02675165184178,1177.3735956170676,101.71151932953988,29.781699272700966,176.99161678257084,Expected
9,2020-10-16,72.67365072744633,1117.047246344514,100.26538906968311,29.28128886828361,178.88155285377178,Expected
10,2020-10-17,71.35958917341895,1118.406835517933,98.80299366216967,28.794876763885004,180.73992017368874,Expected
11,2020-10-18,70.07768241774829,1136.4845179356812,97.32910270922697,28.320811768317732,182.56756029722692,Expected
12,2020-10-19,68.8235717258517,1122.308089661533,95.84805628548942,27.857705066543282,184.36521769470866,Expected
13,2020-10-20,67.59445850812472,1079.9025481696576,94.3637486021057,27.404395077024514,186.1335554027259,Expected
0,2020-09-08,196.71428571428572,3049.0,265,50,86,Historical
1,2020-09-09,162.57142857142858,2872.0,257,47,88,Historical
2,2020-09-10,156.57142857142858,2735.0,240,53,91,Historical
3,2020-09-11,141.71428571428572,2637.0,240,52,94,Historical
4,2020-09-12,128.85714285714286,2458.0,220,51,96,Historical
5,2020-09-13,121.71428571428571,2372.0,220,51,97,Historical
6,2020-09-14,118.14285714285714,2319.0,225,53,99,Historical
7,2020-09-15,118.14285714285714,2204.0,225,53,99,Historical
8,2020-09-16,118.42857142857143,1967.0,222,60,100,Historical
9,2020-09-17,117.14285714285714,1916.0,210,56,103,Historical
10,2020-09-18,109.57142857142857,1759.0,197,51,107,Historical
11,2020-09-19,106.57142857142857,1648.0,200,52,120,Historical
12,2020-09-20,101.28571428571429,1561.0,185,51,120,Historical
13,2020-09-21,97.85714285714286,1512.0,185,51,120,Historical
14,2020-09-22,97.42857142857143,1509.0,185,51,120,Historical
15,2020-09-23,106.85714285714286,1577.0,181,61,120,Historical
16,2020-09-24,96.85714285714286,1498.0,162,54,122,Historical
17,2020-09-25,96.57142857142857,1443.0,150,55,124,Historical
18,2020-09-26,99.0,1439.0,150,55,127,Historical
19,2020-09-27,102.0,1423.0,150,48,131,Historical
20,2020-09-28,106.85714285714286,1433.0,148,48,132,Historical
21,2020-09-29,110.28571428571429,1454.0,147,44,132,Historical
22,2020-09-30,103.57142857142857,1473.0,147,44,132,Historical
23,2020-10-01,106.14285714285714,1421.0,140,47,136,Historical
24,2020-10-02,102.57142857142857,1394.0,130,45,139,Historical
25,2020-10-03,103.42857142857143,1417.0,125,40,142,Historical
26,2020-10-04,99.42857142857143,1410.0,128,39,153,Historical
27,2020-10-05,94.0,1406.0,128,39,156,Historical
28,2020-10-06,93.42857142857143,1426.0,128,39,157,Historical
29,2020-10-07,91.85714285714286,1368.0,115,35,160,Historical
